Airport	Carrier	Weather	NationalAirSystem	Security	Total		
SUN	6	69	0	0	75		
JAN	19	28	0	0	47		
SAT	53	29	6	0	88		
ABE	37	14	16	0	67		
ABI	4	9	0	0	13		
ABQ	36	16	4	0	56		
ABY	1	4	2	0	7		
ACT	6	9	1	0	16		
ACV	8	12	23	0	43		
ACY	1	2	0	0	3		
ADQ	3	3	0	0	6		
AEX	2	9	0	0	11		
AGS	7	11	2	0	20		
ALB	20	57	17	0	94		
ALO	10	4	2	0	16		
AMA	9	17	2	0	28		
ANC	12	15	0	0	27		
ASE	22	196	7	0	225		
ATL	352	1228	122	1	1703		
ATW	32	37	43	0	112		
AUS	77	32	17	0	126		
AVL	7	7	3	0	17		
AVP	20	11	11	0	42		
AZO	16	41	65	0	122		
BDL	64	104	37	0	205		
BET	0	6	0	0	6		
BFL	5	8	10	0	23		
BGM	5	4	2	0	11		
BGR	2	17	2	0	21		
BHM	31	48	24	0	103		
BIL	5	4	0	0	9		
BIS	15	1	0	0	16		
BMI	20	47	37	0	104		
BNA	59	73	45	0	177		
BOI	16	6	15	0	37		
BOS	249	352	102	0	703		
BPT	1	1	1	0	3		
BQK	0	4	0	0	4		
BRO	0	18	0	0	18		
BRW	0	1	0	0	1		
BTM	0	3	0	0	3		
BTR	10	23	3	0	36		
BTV	12	28	15	0	55		
BUF	55	82	45	0	182		
BUR	90	14	23	0	127		
BWI	89	131	27	0	247		
BZN	5	3	2	0	10		
CAE	60	23	27	0	110		
CAK	28	33	19	0	80		
CDC	1	2	0	0	3		
CDV	1	0	0	0	1		
CEC	4	3	8	0	15		
CHA	11	17	12	0	40		
CHO	2	6	0	0	8		
CHS	50	47	24	0	121		
CIC	0	1	13	0	14		
CID	37	111	35	0	183		
CLD	9	2	2	0	13		
CLE	75	175	68	0	318		
CLL	3	3	0	0	6		
CLT	347	162	86	0	595		
CMH	56	95	44	0	195		
CMI	3	34	19	0	56		
CMX	4	4	7	0	15		
COD	3	2	0	0	5		
COS	24	10	8	0	42		
CPR	10	6	0	0	16		
CRP	4	8	0	0	12		
CRW	10	9	16	0	35		
CSG	5	6	0	0	11		
CVG	140	300	79	0	519		
CWA	11	10	18	0	39		
DAB	3	9	1	0	13		
DAL	91	51	5	0	147		
DAY	24	44	33	0	101		
DBQ	1	27	13	0	41		
DCA	228	230	96	0	554		
