AirLineAbbr	Airline	Reason	Number		
9E	Pinnacle Airlines	Carrier	1270		
AA	American Airlines	Carrier	814		
AQ	Aloha Airlines Inc.	Carrier	25		
AS	Alaska Airlines	Carrier	239		
B6	JetBlue Airways	Carrier	211		
CO	Continental Air Lines	Carrier	31		
DL	Delta Air Lines	Carrier	401		
EV	Estafeta Carga Aereas	Carrier	333		
F9	Frontier Airlines	Carrier	6		
FL	AirTran Airways	Carrier	124		
HA	Hawaiian Airlines	Carrier	47		
MQ	American Eagle Airlines	Carrier	929		
NW	Northwest Airlines	Carrier	208		
OH	Comair	Carrier	307		
OO	Skywest Airlines	Carrier	800		
UA	United Air Lines	Carrier	1416		
US	US Airways	Carrier	683		
WN	Southwest Airlines	Carrier	1386		
XE	Expressjet Airlines	Carrier	150		
YV	Mesa Airlines	Carrier	2139		
9E	Pinnacle Airlines	Weather	688		
AA	American Airlines	Weather	342		
AQ	Aloha Airlines Inc.	Weather	0		
AS	Alaska Airlines	Weather	96		
B6	JetBlue Airways	Weather	0		
CO	Continental Air Lines	Weather	158		
DL	Delta Air Lines	Weather	1006		
EV	Estafeta Carga Aereas	Weather	1341		
F9	Frontier Airlines	Weather	49		
FL	AirTran Airways	Weather	357		
HA	Hawaiian Airlines	Weather	0		
MQ	American Eagle Airlines	Weather	2528		
NW	Northwest Airlines	Weather	363		
OH	Comair	Weather	1258		
OO	Skywest Airlines	Weather	1646		
UA	United Air Lines	Weather	1107		
US	US Airways	Weather	366		
WN	Southwest Airlines	Weather	1349		
XE	Expressjet Airlines	Weather	1169		
YV	Mesa Airlines	Weather	774		
9E	Pinnacle Airlines	National Air System	163		
AA	American Airlines	National Air System	501		
AQ	Aloha Airlines Inc.	National Air System	0		
AS	Alaska Airlines	National Air System	20		
B6	JetBlue Airways	National Air System	0		
CO	Continental Air Lines	National Air System	4		
DL	Delta Air Lines	National Air System	127		
EV	Estafeta Carga Aereas	National Air System	63		
F9	Frontier Airlines	National Air System	0		
FL	AirTran Airways	National Air System	52		
HA	Hawaiian Airlines	National Air System	0		
MQ	American Eagle Airlines	National Air System	2015		
NW	Northwest Airlines	National Air System	259		
OH	Comair	National Air System	7		
OO	Skywest Airlines	National Air System	2238		
UA	United Air Lines	National Air System	477		
US	US Airways	National Air System	336		
WN	Southwest Airlines	National Air System	200		
XE	Expressjet Airlines	National Air System	669		
YV	Mesa Airlines	National Air System	714		
EV	Estafeta Carga Aereas	Security	2		
