AirLineAbbr	Airline	TotalCancelation
9E	Pinnacle Airlines	2121
AA	American Airlines	1657
AQ	Aloha Airlines Inc.	25
AS	Alaska Airlines	355
B6	JetBlue Airways	211
CO	Continental Air Lines	193
DL	Delta Air Lines	1534
EV	Estafeta Carga Aereas	1739
F9	Frontier Airlines	55
FL	AirTran Airways	533
HA	Hawaiian Airlines	47
MQ	American Eagle Airlines	5472
NW	Northwest Airlines	830
OH	Comair	1572
OO	Skywest Airlines	4684
UA	United Air Lines	3000
US	US Airways	1385
WN	Southwest Airlines	2935
XE	Expressjet Airlines	1988
YV	Mesa Airlines	3627
