Airport,Carrier,Weather,NationalAirSystem,Security
ORD,1068,1560,2389,0
ATL,352,1228,122,1
LGA,320,503,271,0
EWR,100,486,370,0
SFO,309,181,443,0
DFW,332,441,79,0
DTW,320,300,137,0
BOS,249,352,102,0
IAD,446,151,66,0
DEN,280,331,35,0
MDW,144,483,10,0
LAX,387,162,83,0
CLT,347,162,86,0
DCA,228,230,96,0
CVG,140,300,79,0
MSP,230,180,105,0
PHX,262,143,61,0
JFK,140,257,54,0
LAS,238,132,68,0
PHL,156,182,97,0
MEM,214,123,60,0
SLC,108,230,4,0
MKE,46,186,88,0
CLE,75,175,68,0
STL,107,166,43,0
SAN,135,105,43,0
MCI,104,126,26,0
MSN,36,140,80,0
RDU,95,108,49,0
BWI,89,131,27,0
OAK,185,43,17,0
IAH,43,169,16,0
ASE,22,196,7,0
PIT,90,75,54,0
IND,64,95,49,0
BDL,64,104,37,0
CMH,56,95,44,0
CID,37,111,35,0
DSM,61,78,44,0
BUF,55,82,45,0
SNA,99,30,49,0
BNA,59,73,45,0
SJC,96,43,14,0
HOU,90,58,4,0
SEA,95,45,12,0
DAL,91,51,5,0
MCO,64,67,9,0
GRB,26,54,59,0
SMF,60,51,27,0
GSP,50,47,38,0
SDF,28,70,35,0
XNA,55,36,42,0
SBN,35,41,53,0
GSO,50,52,26,0
BUR,90,14,23,0
AUS,77,32,17,0
HPN,13,69,43,0
TPA,60,57,8,0
SGF,26,67,31,0
