place,lat,lon,Carrier,Weather,NationalAirSystem,Security,years
SUN,43.50388889,114.2955556,6,69,0,0,75
JAN,32.31111111,90.07583333,19,28,0,0,47
SAT,29.53361111,98.46972222,53,29,6,0,88
ABE,40.65222222,75.44027778,37,14,16,0,67
ABI,32.41138889,99.68194444,4,9,0,0,13
ABQ,35.04027778,106.6091667,36,16,4,0,56
ABY,31.53555556,84.19444444,1,4,2,0,7
ACT,31.61138889,97.23055556,6,9,1,0,16
ACV,40.97805556,124.1086111,8,12,23,0,43
ACY,39.4575,74.57722222,1,2,0,0,3
ADQ,57.75,152.4938889,3,3,0,0,6
AEX,31.3275,92.54861111,2,9,0,0,11
AGS,33.37,81.96444444,7,11,2,0,20
ALB,42.74916667,73.80194444,20,57,17,0,94
ALO,42.55722222,92.40027778,10,4,2,0,16
AMA,35.21944444,101.7058333,9,17,2,0,28
ANC,61.17444444,149.9963889,12,15,0,0,27
ASE,39.22305556,106.8688889,22,196,7,0,225
ATL,33.63666667,84.42805556,352,1228,122,1,1703
ATW,44.25805556,88.51916667,32,37,43,0,112
AUS,30.19444444,97.67,77,32,17,0,126
AVL,35.43611111,82.54166667,7,7,3,0,17
AVP,41.33833333,75.72333333,20,11,11,0,42
AZO,42.23444444,85.55166667,16,41,65,0,122
BDL,41.93888889,72.68333333,64,104,37,0,205
BET,60.77972222,161.8380556,0,6,0,0,6
BFL,35.43388889,119.0577778,5,8,10,0,23
BGM,42.20861111,75.97972222,5,4,2,0,11
BGR,44.8075,68.82805556,2,17,2,0,21
BHM,33.56388889,86.75222222,31,48,24,0,103
BIL,45.80777778,108.5427778,5,4,0,0,9
BIS,46.77277778,100.7458333,15,1,0,0,16
BMI,40.47722222,88.91583333,20,47,37,0,104
BNA,36.12444444,86.67833333,59,73,45,0,177
BOI,43.56444444,116.2227778,16,6,15,0,37
BOS,42.36305556,71.00638889,249,352,102,0,703
BPT,29.95083333,94.02055556,1,1,1,0,3
BQK,31.25916667,81.46638889,0,4,0,0,4
BRO,25.90683333,97.42583333,0,18,0,0,18
BRW,71.28555556,156.7661111,0,1,0,0,1
BTM,45.95472222,112.4975,0,3,0,0,3
BTR,30.53277778,91.15,10,23,3,0,36
BTV,44.47194444,73.15333333,12,28,15,0,55
BUF,42.94055556,78.73222222,55,82,45,0,182
BUR,34.20055556,118.3586111,90,14,23,0,127
BWI,39.17527778,76.66833333,89,131,27,0,247
BZN,45.7775,111.1519444,5,3,2,0,10
CAE,33.93888889,81.11944444,60,23,27,0,110
CAK,40.91611111,81.44222222,28,33,19,0,80
CDC,37.70083333,113.0988889,1,2,0,0,3
CDV,60.49166667,145.4775,1,0,0,0,1
