years,place,lat,lon
75,SUN,43.50388889,-114.2955556
47,JAN,32.31111111,-90.07583333
88,SAT,29.53361111,-98.46972222
67,ABE,40.65222222,-75.44027778
13,ABI,32.41138889,-99.68194444
56,ABQ,35.04027778,-106.6091667
7,ABY,31.53555556,-84.19444444
16,ACT,31.61138889,-97.23055556
43,ACV,40.97805556,-124.1086111
3,ACY,39.4575,-74.57722222
6,ADQ,57.75,-152.4938889
11,AEX,31.3275,-92.54861111
20,AGS,33.37,-81.96444444
94,ALB,42.74916667,-73.80194444
16,ALO,42.55722222,-92.40027778
28,AMA,35.21944444,-101.7058333
27,ANC,61.17444444,-149.9963889
225,ASE,39.22305556,-106.8688889
1703,ATL,33.63666667,-84.42805556
112,ATW,44.25805556,-88.51916667
126,AUS,30.19444444,-97.67
17,AVL,35.43611111,-82.54166667
42,AVP,41.33833333,-75.72333333
122,AZO,42.23444444,-85.55166667
205,BDL,41.93888889,-72.68333333
6,BET,60.77972222,-161.8380556
23,BFL,35.43388889,-119.0577778
11,BGM,42.20861111,-75.97972222
21,BGR,44.8075,-68.82805556
103,BHM,33.56388889,-86.75222222
9,BIL,45.80777778,-108.5427778
16,BIS,46.77277778,-100.7458333
104,BMI,40.47722222,-88.91583333
177,BNA,36.12444444,-86.67833333
37,BOI,43.56444444,-116.2227778
703,BOS,42.36305556,-71.00638889
3,BPT,29.95083333,-94.02055556
4,BQK,31.25916667,-81.46638889
18,BRO,25.90683333,-97.42583333
1,BRW,71.28555556,-156.7661111
3,BTM,45.95472222,-112.4975
36,BTR,30.53277778,-91.15
55,BTV,44.47194444,-73.15333333
182,BUF,42.94055556,-78.73222222
127,BUR,34.20055556,-118.3586111
247,BWI,39.17527778,-76.66833333
10,BZN,45.7775,-111.1519444
110,CAE,33.93888889,-81.11944444
80,CAK,40.91611111,-81.44222222
3,CDC,37.70083333,-113.0988889
1,CDV,60.49166667,-145.4775
15,CEC,41.78027778,-124.2366667
40,CHA,35.03527778,-85.20361111
8,CHO,38.13861111,-78.45277778
121,CHS,32.89861111,-80.04055556
14,CIC,39.79527778,-121.8583333
183,CID,41.88472222,-91.71083333
13,CLD,33.128333,-117.28
318,CLE,41.40944444,-81.855
6,CLL,30.58861111,-96.36388889
595,CLT,35.21388889,-80.94305556
195,CMH,39.99805556,-82.89194444
56,CMI,40.03888889,-88.27777778
15,CMX,47.16833333,-88.48916667
5,COD,44.52027778,-109.0238889
42,COS,38.80583333,-104.7008333
16,CPR,42.90805556,-106.4644444
12,CRP,27.77036111,-97.50111111
35,CRW,38.37305556,-81.59333333
11,CSG,32.51638889,-84.93888889
519,CVG,39.04888889,-84.66777778
39,CWA,44.7775,-89.66666667
13,DAB,29.18,-81.05805556
147,DAL,32.84722222,-96.85166667
101,DAY,39.9025,-84.21944444
41,DBQ,42.40194444,-90.70944444
554,DCA,38.85222222,-77.03777778
646,DEN,39.86166667,-104.6730556
852,DFW,32.89694444,-97.03805556
4,DHN,31.32138889,-85.44972222
6,DLH,46.84222222,-92.19361111
43,DRO,37.15138889,-107.7538889
183,DSM,41.53388889,-93.66305556
757,DTW,42.2125,-83.35333333
36,EGE,39.64138889,-106.9175
16,EKO,40.825,-115.7916667
7,ELM,42.16,-76.89166667
26,ELP,31.80722222,-106.3775
18,ERI,42.08194444,-80.17611111
42,EUG,44.12444444,-123.2119444
103,EVV,38.03694444,-87.53222222
5,EWN,35.07305556,-77.04305556
956,EWR,40.6925,-74.16861111
4,EYW,24.55611111,-81.75944444
11,FAI,64.81555556,-147.8586111
37,FAR,46.92055556,-96.81583333
45,FAT,36.77611111,-119.7180556
8,FAY,34.99111111,-78.88027778
7,FCA,48.310556,-114.256111
43,FLG,35.14027778,-111.6691667
73,FLL,26.07258333,-80.15277778
8,FLO,34.18527778,-79.72388889
69,FNT,42.96555556,-83.74361111
42,FSD,43.58194444,-96.74194444
18,FSM,35.33666667,-94.3675
95,FWA,40.97833333,-85.19527778
45,GEG,47.62,-117.5338889
9,GFK,47.94916667,-97.17611111
6,GGG,32.38388889,-94.71138889
24,GJT,39.1225,-108.5266667
15,GNV,29.69,-82.27166667
25,GPT,30.40722222,-89.07
139,GRB,44.48472222,-88.12972222
31,GRK,31.06722222,-97.82888889
116,GRR,42.88083333,-85.52277778
128,GSO,36.09777778,-79.93722222
135,GSP,34.89555556,-82.21888889
7,GTF,47.48277778,-111.3705556
8,GTR,33.45027778,-88.59138889
10,GUC,38.53388889,-106.9330556
32,HDN,40.48111111,-107.2177778
17,HHH,32.224444,-80.6975
4,HLN,46.60666667,-111.9827778
43,HNL,21.31866667,-157.9225
152,HOU,29.64555556,-95.27888889
125,HPN,41.06694444,-73.7075
24,HRL,26.2285,-97.65444444
77,HSV,34.63722222,-86.775
663,IAD,38.9475,-77.46
228,IAH,29.98444444,-95.34138889
122,ICT,37.65,-97.43305556
19,IDA,43.51361111,-112.0708333
15,ILM,34.27055556,-77.9025
208,IND,39.71722222,-86.29472222
3,IPL,32.83416667,-115.5786111
25,ISP,40.79527778,-73.10027778
8,ITO,19.72025,-155.0483333
10,IYK,35.65861111,-117.8294444
45,JAC,43.60722222,-110.7377778
109,JAX,30.49416667,-81.68777778
451,JFK,40.63972222,-73.77888889
24,JNU,58.355,-134.5763889
10,KOA,19.73877778,-156.0455556
8,KTN,55.35416667,-131.7111111
70,LAN,42.77861111,-84.58666667
438,LAS,36.08,-115.1522222
10,LAW,34.56777778,-98.41666667
632,LAX,33.9425,-118.4072222
18,LBB,33.66361111,-101.8227778
2,LCH,30.12611111,-93.22333333
70,LEX,38.03638889,-84.60583333
23,LFT,30.20527778,-91.9875
1094,LGA,40.77722222,-73.8725
26,LGB,33.81777778,-118.1516667
9,LIH,21.97597222,-159.3388889
77,LIT,34.72944444,-92.22444444
49,LNK,40.85111111,-96.75916667
6,LRD,27.54380556,-99.46166667
47,LSE,43.87916667,-91.25666667
1,LWS,46.37444444,-117.0152778
8,LYH,37.32527778,-79.20055556
8,MAF,31.9425,-102.2019444
61,MBS,43.53277778,-84.07972222
256,MCI,39.2975,-94.71388889
8,MCN,32.69277778,-83.64916667
140,MCO,28.42944444,-81.30888889
75,MDT,40.19361111,-76.76333333
